team_key,logo_url
fresno state bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/fresno_state_bulldogs.png
furman paladins,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/furman_paladins.png
george mason patriots,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/george_mason_patriots.png
georgetown hoyas,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/georgetown_hoyas.png
georgia bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/georgia_bulldogs.png
georgia southern eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/georgia_southern_eagles.png
georgia state panthers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/georgia_state_panthers.png
georgia tech yellow jackets,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/georgia_tech_yellow_jackets.png
gonzaga bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/gonzaga_bulldogs.png
grambling state tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/grambling_state_tigers.png
grand canyon antelopes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/grand_canyon_antelopes.png
green bay phoenix,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/green_bay_phoenix.png
hampton pirates,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/hampton_pirates.png
harvard crimson,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/harvard_crimson.png
hawaii rainbow warriors,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/hawaii_rainbow_warriors.png
holy cross crusaders,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/holy_cross_crusaders.png
houston cougars,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/houston_cougars.png
howard bison,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/howard_bison.png
idaho state bengals,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/idaho_state_bengals.png
idaho vandals,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/idaho_vandals.png
illinois fighting illini,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/illinois_fighting_illini.png
illinois state redbirds,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/illinois_state_redbirds.png
incarnate word cardinals,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/incarnate_word_cardinals.png
indiana hoosiers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/indiana_hoosiers.png
indiana state sycamores,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/indiana_state_sycamores.png
iona gaels,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/iona_gaels.png
iowa hawkeyes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/iowa_hawkeyes.png
iowa state cyclones,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/iowa_state_cyclones.png
iupui jaguars,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/iupui_jaguars.png
jackson state tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/jackson_state_tigers.png
jacksonville state gamecocks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/jacksonville_state_gamecocks.png
james madison dukes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/james_madison_dukes.png
kansas jayhawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/kansas_jayhawks.png
kansas state wildcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/kansas_state_wildcats.png
kennesaw state owls,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/kennesaw_state_owls.png
kent state golden flashes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/kent_state_golden_flashes.png
kentucky wildcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/kentucky_wildcats.png
la salle explorers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/la_salle_explorers.png
lafayette leopards,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/lafayette_leopards.png
