team_key,logo_url
aj auxerre,http://bet-bot-manager.my.pebble.host:25594/static/logos/ligue1/aj_auxerre.png
angers sco,http://bet-bot-manager.my.pebble.host:25594/static/logos/ligue1/angers_sco.png
clermont foot,http://bet-bot-manager.my.pebble.host:25594/static/logos/ligue1/clermont_foot.png
es troyes ac,http://bet-bot-manager.my.pebble.host:25594/static/logos/ligue1/es_troyes_ac.png
rc strasbourg alsace,http://bet-bot-manager.my.pebble.host:25594/static/logos/ligue1/rc_strasbourg_alsace.png
stade brestois 29,http://bet-bot-manager.my.pebble.host:25594/static/logos/ligue1/stade_brestois_29.png
stade rennais fc,http://bet-bot-manager.my.pebble.host:25594/static/logos/ligue1/stade_rennais_fc.png
