team_key,logo_url
boston college eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/boston_college_eagles.png
bowling green falcons,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/bowling_green_falcons.png
brigham young (byu) cougars,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/brigham_young_(byu)_cougars.png
brown bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/brown_bears.png
bryant bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/bryant_bulldogs.png
bucknell bison,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/bucknell_bison.png
buffalo bulls,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/buffalo_bulls.png
butler bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/butler_bulldogs.png
cal poly mustangs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/cal_poly_mustangs.png
cal state bakersfield roadrunners,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/cal_state_bakersfield_roadrunners.png
cal state fullerton titans,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/cal_state_fullerton_titans.png
california baptist lancers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/california_baptist_lancers.png
california golden bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/california_golden_bears.png
"california, los angeles (ucla) bruins",http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/california,_los_angeles_(ucla)_bruins.png
campbell fighting camels,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/campbell_fighting_camels.png
canisius golden griffins,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/canisius_golden_griffins.png
central arkansas bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/central_arkansas_bears.png
central florida (ucf) knights,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/central_florida_(ucf)_knights.png
central michigan chippewas,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/central_michigan_chippewas.png
charleston southern buccaneers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/charleston_southern_buccaneers.png
chattanooga mocs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/chattanooga_mocs.png
cincinnati bearcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/cincinnati_bearcats.png
clemson tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/clemson_tigers.png
cleveland state vikings,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/cleveland_state_vikings.png
coastal carolina chanticleers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/coastal_carolina_chanticleers.png
colgate raiders,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/colgate_raiders.png
colorado buffaloes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/colorado_buffaloes.png
colorado state rams,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/colorado_state_rams.png
columbia lions,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/columbia_lions.png
connecticut (uconn) huskies,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/connecticut_(uconn)_huskies.png
cornell big red,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/cornell_big_red.png
creighton bluejays,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/creighton_bluejays.png
dartmouth big green,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/dartmouth_big_green.png
davidson wildcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/davidson_wildcats.png
dayton flyers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/dayton_flyers.png
delaware state hornets,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/delaware_state_hornets.png
denver pioneers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/denver_pioneers.png
depaul blue demons,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/depaul_blue_demons.png
drake bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/drake_bulldogs.png
duke blue devils,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/duke_blue_devils.png
duquesne dukes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/duquesne_dukes.png
east carolina pirates,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/east_carolina_pirates.png
east tennessee state buccaneers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/east_tennessee_state_buccaneers.png
eastern illinois panthers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/eastern_illinois_panthers.png
eastern kentucky colonels,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/eastern_kentucky_colonels.png
eastern michigan eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/eastern_michigan_eagles.png
eastern washington eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/eastern_washington_eagles.png
elon phoenix,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/elon_phoenix.png
fairfield stags,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/fairfield_stags.png
florida a&m rattlers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/florida_a&m_rattlers.png
florida atlantic owls,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/florida_atlantic_owls.png
florida gators,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/florida_gators.png
florida international (fiu) panthers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/florida_international_(fiu)_panthers.png
florida state seminoles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/florida_state_seminoles.png
fordham rams,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/fordham_rams.png
fresno state bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/fresno_state_bulldogs.png
furman paladins,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/furman_paladins.png
george mason patriots,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/george_mason_patriots.png
georgetown hoyas,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/georgetown_hoyas.png
georgia bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/georgia_bulldogs.png
georgia southern eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/georgia_southern_eagles.png
georgia state panthers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/georgia_state_panthers.png
georgia tech yellow jackets,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/georgia_tech_yellow_jackets.png
gonzaga bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/gonzaga_bulldogs.png
